"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL7A1",29.5349806842718,0.883033181480151,0.384691700875459,2.29543080724277,0.021708447520543,NA
"COL8A1",45.6386940831815,0.484768475320644,0.417484078544939,1.16116637791365,0.245574244980627,NA
"COL8A2",5.36573845033908,-2.21794804431518,1.13335710190899,-1.95697193812906,0.0503507676989312,NA
"COL9A2",6.88248545716467,-0.123212460693115,0.616105166438951,-0.199986085825697,0.841491463209343,NA
"COL9A3",60.005179036977,-0.237505533057759,0.231680428796321,-1.02514284133408,0.305295793571339,NA
"COLCA1",1.4718751338953,-1.62308431647481,1.18757071876324,-1.3667264532803,0.171711063009512,NA
"COLEC12",10.8151093858371,-0.540409979190118,0.439447863870374,-1.22974765295372,0.21879161612662,NA
"COLGALT1",126.842444158997,0.247288348702637,0.174324618156125,1.41855092710523,0.156029981307084,0.56084083544524
"COLGALT2",16.9258808401615,-0.252588523526371,0.400341335649163,-0.630932909080679,0.528084393002422,NA
"COLQ",1.11792794149676,0.482548746651361,1.65416874841944,0.291716759316386,0.77050319422477,NA
"COMMD1",235.9759211427,-0.147254213303,0.108098444481293,-1.3622232402103,0.173127443588135,0.578631856263109
"COMMD10",49.5611111741241,0.0455837869342597,0.159663203371982,0.285499639062477,0.775261380887792,NA
"COMMD2",116.663339712528,0.101954260402519,0.135467476868058,0.752610610012469,0.45168393999492,NA
"COMMD3",230.55040904657,0.117631870977903,0.100469455012757,1.17082222614791,0.241670241912929,0.648380896272903
"COMMD4",319.810345905087,-0.113899786922652,0.149326465930989,-0.762756864381231,0.44560841072968,0.79184140294894
"COMMD5",136.076330056181,-0.0722677241311378,0.150155922528168,-0.48128454019242,0.630314283169683,0.876005758643008
"COMMD6",1311.06250893438,0.216132022500699,0.147374698158312,1.46654768560426,0.142499140130185,0.542836524959537
"COMMD7",58.3786815945524,-0.266222781255629,0.193480224267733,-1.37596895115873,0.168831246144047,NA
"COMMD8",82.3549763551706,-0.169632353328861,0.154595796548331,-1.09726368450017,0.272526141046988,NA
"COMMD9",111.563648960218,-0.211673293086194,0.203323687455112,-1.04106558235093,0.297845111793315,NA
"COMP",1.72894235957666,1.13157009354805,1.16779801029584,0.968977583085092,0.332556373967812,NA
"COMT",465.914709306561,0.172181405231084,0.157160313183728,1.09557815038073,0.273263427900737,0.678558656465881
"COMTD1",73.7184269309207,0.265950114296656,0.188620977305038,1.40997103342626,0.158548236244682,NA
"COP1",76.5132280707281,0.135388798615692,0.134743291410416,1.00479064448048,0.314997669704542,NA
"COPA",214.605764948322,0.0181312959478874,0.111705134070569,0.162313899882463,0.871058669302257,0.968886958938361
"COPB1",207.004488966164,-0.00206464917711392,0.145992506780747,-0.0141421585438945,0.988716566158334,0.996330916191333
"COPB2",195.130519890759,-0.0922882216010092,0.132810725787954,-0.694885304281501,0.487127183043005,0.812141492771645
"COPE",658.119857270591,-0.0107649632654626,0.0756808940171595,-0.142241491796091,0.886889259248939,0.975318175342345
"COPG1",170.772967615834,0.164010399752683,0.13520682437936,1.21303344343409,0.225117034404057,0.63039961870657
"COPG2",31.8966893049833,0.23028797355485,0.228142368695991,1.00940467512073,0.312780597248223,NA
"COPRS",209.473974175137,0.0391024497806528,0.118365068482577,0.330354641634907,0.741132010104874,0.918636397408869
"COPS2",272.404260921856,0.176480280581188,0.139909671308058,1.26138728603406,0.20716934674763,0.61636074771851
"COPS3",189.680566009275,-0.11951703869259,0.104405780705961,-1.1447358363153,0.252318601736842,0.656198932633146
"COPS4",109.534747197072,-0.0998835265533996,0.13589125449127,-0.735025421079002,0.462324012315503,NA
"COPS5",175.027919157048,0.013307246102074,0.107112878516235,0.124235724839165,0.901128637007411,0.976831646613044
"COPS6",704.821899918587,-0.0310891842701624,0.0770399709936289,-0.403546157523001,0.686546485948233,0.89899081057886
"COPS7A",81.9916154900307,0.108217587459262,0.141605378540211,0.764219470862339,0.444736465246051,NA
"COPS7B",58.8644297251748,-0.106512016782044,0.149663359187487,-0.711677309398176,0.476664621704418,NA
"COPS8",162.63435527271,-0.144533075381453,0.113752114053173,-1.27059682876655,0.203872115723296,0.61512533367115
"COPS9",1024.73918394317,-0.192757075557914,0.099166617720967,-1.94376978854204,0.0519232184998152,0.358865872780064
"COPZ1",444.055482621833,0.0629367813033562,0.0845924976734327,0.743999563014703,0.456876739472522,0.799637577864458
"COPZ2",18.086945592546,-0.204955942268464,0.418371695536829,-0.489889599260479,0.624212023242436,NA
"COQ10A",10.4832520856911,0.209470036434587,0.399521728346615,0.524301988033191,0.600068514373343,NA
"COQ10B",71.9846223066312,0.0573348476027374,0.162047697310406,0.353814639481802,0.723477801554661,NA
"COQ2",37.5436578598514,-0.304491310321182,0.190087278038284,-1.60185002101959,0.109188778698784,NA
"COQ3",62.0434282199052,0.0126667930482267,0.159014246766824,0.0796582275222237,0.936509083436931,NA
"COQ4",252.512069839061,0.113843100242283,0.0966681929522539,1.17766864948549,0.238928729925126,0.64514192908099
"COQ5",97.6448632918214,0.104690858804722,0.161424197149752,0.648545017743535,0.516632503945843,NA
"COQ6",38.8784579366343,-0.00660721260059336,0.189271154080229,-0.0349087140758525,0.972152532021999,NA
"COQ7",62.9760668290711,-0.117505628562435,0.173424149181376,-0.677562087616424,0.498049391141664,NA
"COQ8B",38.009690397091,-0.0188287896985316,0.216597711831818,-0.0869297719689286,0.930727334481401,NA
"COQ9",60.9369273814863,0.0932444207760219,0.149410808160361,0.624080827378591,0.532574504486069,NA
"CORO1A",8.57668863328284,-0.0857610246267947,0.469985348467741,-0.182475953572585,0.855209223806924,NA
"CORO1B",156.184690183669,0.164903009284781,0.133571058269787,1.23457140656705,0.216990056085005,0.622146758976284
"CORO1C",135.491679664685,-0.0816658414679546,0.114739831687962,-0.711747962904871,0.476620861319611,0.806356944731723
"CORO2A",15.3360218438477,0.400574288046741,0.37270610039672,1.07477255569565,0.282476570451676,NA
"CORO2B",0.709191549769767,-0.273000169711685,1.25630054733225,-0.217304824304503,0.827970797673299,NA
"CORO6",5.31967989021887,0.287919763521851,0.503082260349073,0.572311500950307,0.567110959503015,NA
"CORO7",15.0570044008182,0.211809559580623,0.372833488702387,0.568107656631938,0.569961869068344,NA
"COTL1",125.319192963786,0.337203419136408,0.16081638336777,2.09682255050631,0.0360092865798536,0.314167873472693
"COX10",102.155186388892,0.359087558779701,0.189649031218271,1.89343207541313,0.0583004332346468,NA
"COX10-AS1",18.3016897561964,0.133008213460487,0.314231789233953,0.423280578278663,0.672090562684714,NA
"COX11",139.415466779524,-0.174917230769847,0.121271334616496,-1.44236254447928,0.149200124469216,0.553090615846963
"COX14",513.712053695547,-0.0125832135705347,0.0964032205710286,-0.130526900408515,0.896149572747279,0.976542834276345
"COX15",62.8007242710713,0.312919757562079,0.14380408245215,2.17601442341667,0.0295541820724432,NA
"COX16",74.2334662771447,-0.180731547359549,0.202080825588523,-0.894352776089478,0.37113317077023,NA
